query_id,query_text,category,priority,is_hard_case
Q0080,Order ORD-57052 was supposed to arrive yesterday ago,Order Status,Medium,False
Q0081,please share pricing for 500 3-phase contactors for Apex Components,Quotation,Medium,False
Q0082,"My order ORD-47930 has not arrived yet, please check.",Order Status,Medium,False
Q0083,Can I visit your warehouse to see samples of brass connectors?,General Enquiry,Low,False
Q0084,When can I expect delivery of order ORD-60432?,Order Status,Low,False
Q0085,Do you offer discount for 50+ units of hydraulic seals?,Quotation,Low,False
Q0086,do you export cable glands outside India?,General Enquiry,Medium,False
Q0087,"Kindly quote your best rate for 2000 control relays, delivery to Chennai.",Quotation,Medium,False
Q0088,"i placed an order ORD-97841 3 days back, when will it be delivered?",Order Status,Medium,False
Q0089,i need a quotation for 75 rubber grommets.,Quotation,Medium,False
Q0090,"We are looking to procure 1000 hydraulic seals, kindly send your best quote",Quotation,Medium,False
Q0091,Do you have a catalogue for cable glands?,General Enquiry,Low,False
Q0092,"Order ORD-42098 - partial delivery received, where is the rest?",Order Status,Medium,False
Q0093,"Requesting revised quotation, last quote for M8 hex bolts has expired.",Quotation,Medium,False
Q0094,are you open on Saturdays?,General Enquiry,Low,False
Q0095,Precision Tools Co would like a quote for 300 timing belts with payment terms.,Quotation,Medium,False
Q0096,"Order ORD-48427 arrived with wrong items, very disappointed.",Complaint,High,False
Q0097,Is there a minimum order quantity for circuit breakers?,General Enquiry,Low,False
Q0098,"I need urgent update on order ORD-48469, production is stalled without it.",Order Status,High,False
Q0099,"We are looking to procure 50 cable glands, kindly send your best quote.",Quotation,Medium,False
Q0100,"Send quotation asap for 500 stainless steel washers, comparing with another vendor.",Quotation,High,False
Q0101,i am cancelling future orders unless order ORD-87236 issue is resolved.,Complaint,High,False
Q0102,"Send quotation asap for 5000 hydraulic seals, comparing with another vendor.",Quotation,High,False
Q0103,is there a minimum order quantity for carbon brushes?,General Enquiry,Low,False
Q0104,When can I expect delivery of order ORD-55082?,Order Status,Medium,False
Q0105,I need a quotation for 1000 timing belts,Quotation,Medium,False
Q0106,"still waiting for order ORD-40021, any update?",Order Status,Medium,False
Q0107,Do you offer discount for 100+ units of cable glands?,Quotation,Low,False
Q0108,Vikram Enterprises would like a quote for 100 timing belts with payment terms,Quotation,Medium,False
Q0109,"send quotation asap for 1000 servo motors, comparing with another vendor.",Quotation,High,False
Q0110,Could you provide bulk pricing if we order 75 rubber grommets?,Quotation,Medium,False
Q0111,"I placed an order ORD-26483 a month back, when will it be delivered?",Order Status,Medium,False
Q0112,The ball bearings (SKF 6205) does not match the specifications quoted earlier.,Complaint,High,False
Q0113,"Kindly quote your best rate for 5000 stainless steel washers, delivery to Chennai.",Quotation,Medium,False
Q0114,Please confirm price and lead time for 500 3-phase contactors.,Quotation,Medium,False
Q0115,"Extremely unhappy with the service, order ORD-38785 was delivered incomplete.",Complaint,High,False
Q0116,"My order ORD-44718 has not arrived yet, please check.",Order Status,Medium,False
Q0117,"I need urgent update on order ORD-23434, production is stalled without it.",Order Status,High,False
Q0118,What is the warranty period on control relays?,General Enquiry,Low,False
Q0119,"I placed an order ORD-15695 10 days back, when will it be delivered?",Order Status,Medium,False
Q0120,Can you send me a quote for 100 units of 3-phase contactors?,Quotation,Medium,False
Q0121,The invoice for order ORD-74042 has incorrect GST calculation,Complaint,Medium,False
Q0122,What is the status of my order ORD-38785?,Order Status,Medium,False
Q0123,Please confirm price and lead time for 50 3-phase contactors.,Quotation,Medium,False
Q0124,hi,General Enquiry,Low,True
Q0125,"Still waiting for order ORD-59735, any update?",Order Status,Medium,False
Q0126,Could you provide bulk pricing if we order 250 carbon brushes?,Quotation,Medium,False
Q0127,Is there a minimum order quantity for ball bearings (SKF 6205)?,General Enquiry,Low,False
Q0128,"The solenoid valves I received is damaged, this is unacceptable.",Complaint,High,False
Q0129,what is the warranty period on solenoid valves?,General Enquiry,Low,False
Q0130,"We are looking to procure 1000 flange couplings, kindly send your best quote",Quotation,Medium,False
Q0131,I need a quotation for 300 rubber grommets,Quotation,Medium,False
Q0132,"Following up on quotation sent last month, also wanted to know order status of ORD-44213.",Quotation,Medium,True
Q0133,"We are looking to procure 5000 cable glands, kindly send your best quote.",Quotation,Medium,False
Q0134,I am cancelling future orders unless order ORD-20328 issue is resolved.,Complaint,High,False
Q0135,"the rubber grommets I received is damaged, this is unacceptable.",Complaint,High,False
Q0136,Please share pricing for 20 M8 hex bolts for Metro Fabricators.,Quotation,Medium,False
Q0137,i need a quotation for 100 control relays.,Quotation,Medium,False
Q0138,the hydraulic seals stopped working within yesterday of delivery.,Complaint,High,False
Q0139,Kindly share the courier tracking number for order ORD-13478,Order Status,Low,False
Q0140,Can you send me a quote for 500 units of rubber grommets?,Quotation,Medium,False
Q0141,"We are looking to procure 100 carbon brushes, kindly send your best quote.",Quotation,Medium,False
Q0142,"Hi, need a formal quotation for 20 servo motors for our upcoming project.",Quotation,Medium,False
Q0143,"My order ORD-18326 has not arrived yet, please check.",Order Status,Medium,False
Q0144,Just checking if you still manufacture servo motors.,General Enquiry,Low,False
Q0145,"Extremely unhappy with the service, order ORD-73699 was delivered incomplete.",Complaint,High,False
Q0146,Is order ORD-74042 delayed? We haven't received any notification.,Order Status,High,False
Q0147,Can you share your GST number for our records?,General Enquiry,Low,False
Q0148,"Requesting revised quotation, last quote for pressure gauges has expired.",Quotation,Medium,False
Q0149,can you track order ORD-32431 for me?,Order Status,Low,False
Q0150,Do you offer discount for 1000+ units of flange couplings?,Quotation,Low,False
Q0151,Order ORD-99192 was supposed to arrive a week ago.,Order Status,Medium,False
Q0152,"My order ORD-79352 has not arrived yet, please check.",Order Status,Medium,False
Q0153,this is the second time we received defective timing belts from you.,Complaint,High,False
Q0154,"My order ORD-80010 has not arrived yet, please check.",Order Status,Medium,False
Q0155,SS Traders would like a quote for 500 solenoid valves with payment terms.,Quotation,Medium,False
Q0156,What would be the cost for 75 brass connectors including GST?,Quotation,Medium,False
Q0157,"Order ORD-45093 - partial delivery received, where is the rest?",Order Status,Medium,False
Q0158,What would be the cost for 2000 control relays including GST?,Quotation,Medium,False
Q0159,Do you offer discount for 2000+ units of hydraulic seals?,Quotation,Low,False
Q0160,Kindly share the courier tracking number for order ORD-99353.,Order Status,Low,False
Q0161,When can I expect delivery of order ORD-21915?,Order Status,Medium,False
Q0162,"I need urgent update on order ORD-45382, production is stalled without it.",Order Status,High,False
Q0163,The invoice for order ORD-41385 has incorrect GST calculation.,Complaint,Medium,False
Q0164,Order ORD-56566 shows dispatched but tracking is not updating.,Order Status,Medium,False
Q0165,just checking if you still manufacture stainless steel washers.,General Enquiry,Medium,False
Q0166,Order ORD-95181 was supposed to arrive yesterday ago,Order Status,High,False
Q0167,The invoice for order ORD-62350 has incorrect GST calculation,Complaint,Medium,False
Q0168,Do you have a catalogue for hydraulic seals?,General Enquiry,Low,False
Q0169,What is the status of my order ORD-83579?,Order Status,Medium,False
Q0170,Kindly share the courier tracking number for oder ORD-89507.,Order Status,Low,False
Q0171,Do you export conveyor belts outside India?,General Enquiry,Medium,False
Q0172,Just checking if you still manufacture rubber grommets,General Enquiry,Low,False
Q0173,"My order ORD-57400 has not arrived yet, please check.",Order Status,Medium,False
Q0174,Kindly share the courier tracking number for order ORD-83000.,Order Status,Low,False
Q0175,what is the warranty period on conveyor belts?,General Enquiry,Low,False
Q0176,"kindly quote your best rate for 20 circuit breakers, delivery to Chennai.",Quotation,Medium,False
Q0177,kindly share the courier tracking number for order ORD-62581.,Order Status,Low,False
Q0178,Can I visit your warehouse to see samples of M8 hex bolts?,General Enquiry,Low,False
Q0179,"Extremely unhappy with the service, order ORD-36071 was delivered incomplete.",Complaint,High,False
Q0180,"I want a refund for order ORD-80010, the quality is very poor.",Complaint,High,False
Q0181,"My order ORD-92397 has not arrived yet, please check.",Order Status,Medium,False
Q0182,"I placed an order ORD-41571 3 days back, when will it be delivered?",Order Status,Medium,False
Q0183,"Kindly quote your best rate for 75 conveyor belts, delivery to Chennai.",Quotation,Medium,False
Q0184,Can you send me a quote for 500 units of 3-phase contactors?,Quotation,Medium,False
Q0185,can I visit your warehouse to see samples of aluminium extrusions?,General Enquiry,Low,False
Q0186,Just checking if you still manufacture conveyor belts,General Enquiry,Low,False
Q0187,I am cancelling future orders unless order ORD-94259 issue is resolved.,Complaint,High,False
Q0188,"Kindly quote your best rate for 50 3-phase contactors, delivery to Chennai.",Quotation,Medium,False
Q0189,"Need qutation urgently, 75 circuit breakers required for a tender submission",Quotation,High,False
Q0190,"Need quotation urgently, 100 carbon brushes required for a tender submission.",Quotation,High,False
Q0191,"I want a refund for order ORD-84341, the quality is very poor.",Complaint,High,False
Q0192,When can I expect delivery of order ORD-10851?,Order Status,Medium,False
Q0193,The PVC pipe fittings does not match the specifications quoted earlier.,Complaint,High,False
Q0194,Is there a minimum order quantity for brass connectors?,General Enquiry,Low,False
Q0195,Kindly share the courier tracking number for order ORD-99353,Order Status,Medium,False
Q0196,Just checking if you still manufacture flange couplings.,General Enquiry,Low,False
Q0197,"Hi, need a formal quotation for 1000 solenoid valves for our upcoming project.",Quotation,Medium,False
Q0198,I need a quotation for 100 conveyor belts,Quotation,Medium,False
Q0199,Can you send me a quote for 20 units of control relays?,Quotation,Medium,False
Q0200,"Requesting price list for solenoid valves, quantity around 2000 pcs.",Quotation,Medium,False
Q0201,"Requesting price list for circuit breakers, quantity around 5000 pcs.",Quotation,Medium,False
Q0202,I need a qutation for 20 timing belts.,Quotation,Medium,False
Q0203,Please share pricing for 500 ball bearings (SKF 6205) for SS Traders.,Quotation,Medium,False
Q0204,Do you have a catalogue for 3-phase contactors?,General Enquiry,Low,False
Q0205,i need a quotation for 250 stainless steel washers.,Quotation,High,False
Q0206,could you provide bulk pricing if we order 75 flange couplings?,Quotation,Low,False
Q0207,Do you provide installation support for PVC pipe fittings?,General Enquiry,Low,False
Q0208,Is there a minimum order quantity for aluminium extrusions?,General Enquiry,Low,False
Q0209,"we are looking to procure 2000 brass connectors, kindly send your best quote",Quotation,Medium,False
Q0210,This is the second time we received defective industrial gaskets from you,Complaint,High,False
Q0211,"I need urgent update on order ORD-22156, production is stalled without it.",Order Status,High,False
Q0212,Just checking if you still manufacture timing belts.,General Enquiry,Low,False
Q0213,"Still waiting for order ORD-54118, any update?",Order Status,Medium,False
Q0214,The invoice for order ORD-37869 has incorrect GST calculation.,Complaint,Medium,False
Q0215,Please confirm price and lead time for 250 M8 hex bolts.,Quotation,Medium,False
Q0216,The solenoid valves stopped working within 10 days of delivery.,Complaint,High,False
Q0217,I am cancelling future orders unless order ORD-24371 issue is resolved.,Complaint,High,False
Q0218,Vikram Enterprises would like a quote for 1000 control relays with payment terms.,Quotation,Medium,False
Q0219,The M8 hex bolts does not match the specifications quoted earlier,Complaint,High,False
Q0220,Order ORD-89131 was supposed to arrive a month ago,Order Status,Medium,False
Q0221,This is the second time we received defective industrial gaskets from you.,Complaint,High,False
Q0222,What are your business hours?,General Enquiry,Low,False
Q0223,"Hi, need a formal quotation for 75 M8 hex bolts for our upcoming project.",Quotation,Medium,False
Q0224,"Need quotation urgently, 20 3-phase contactors required for a tender submission",Quotation,High,False
Q0225,"send qutation asap for 100 hydraulic seals, comparing with another vendor.",Quotation,High,False
Q0226,"Please update me on oder ORD-92240, it's been 3 days.",Order Status,Medium,False
Q0227,Order ORD-20458 shows dispatched but tracking is not updating.,Order Status,Medium,False
Q0228,What is teh status of my oder ORD-95181?,Order Status,Medium,False
Q0229,Do you provide installation support for flange couplings?,General Enquiry,Low,False
Q0230,"Order ORD-38657 - partial delivery received, where is the rest?",Order Status,Low,False
Q0231,Just checking if you still manufacture carbon brushes.,General Enquiry,Low,False
Q0232,"need quotation urgently, 2000 hydraulic seals required for a tender submission",Quotation,High,False
Q0233,"The flange couplings I received is damaged, this is unacceptable.",Complaint,High,False
Q0234,Can I visit your warehouse to see samples of flange couplings?,General Enquiry,Low,False
Q0235,"Send quotation asap for 300 solenoid valves, comparing with another vendor.",Quotation,High,False
Q0236,what are your business hours?,General Enquiry,Low,False
Q0237,Is order ORD-76237 delayed? We haven't received any notification.,Order Status,High,False
Q0238,Please confirm price and lead time for 5000 pressure gauges.,Quotation,Medium,False
Q0239,"Need quotation urgently, 50 brass connectors required for a tender submission.",Quotation,High,False
Q0240,The invoice for order ORD-38746 has incorrect GST calculation.,Complaint,Medium,False
Q0241,Is order ORD-44671 delayed? We haven't received any notification.,Order Status,High,False
Q0242,"Order ORD-99166 - partial delivery received, where is the rest?",Order Status,Medium,False
Q0243,Just checking if you still manufacture stainless steel washers.,General Enquiry,Low,False
Q0244,Order ORD-31643 was supposed to arrive 3 days ago.,Order Status,Medium,False
Q0245,"Requesting revised quotation, last quote for flange couplings has expired.",Quotation,Medium,False
Q0246,"Still waiting for order ORD-28131, any update?",Order Status,Medium,False
Q0247,"My order ORD-19071 has not arrived yet, please check.",Order Status,Medium,False
Q0248,Just checking if you still manufacture hydraulic seals.,General Enquiry,Low,False
Q0249,Do you export cable glands outside India?,General Enquiry,Medium,False
Q0250,Can you send me a quote for 250 units of circuit breakers?,Quotation,Medium,False
Q0251,can you send me a quote for 1000 units of carbon brushes?,Quotation,Medium,False
Q0252,Is there a minimum order quantity for cable glands?,General Enquiry,Low,False
Q0253,"Order ORD-16006 - partial delivery received, where is the rest?",Order Status,Medium,False
Q0254,Can you track order ORD-79163 for me?,Order Status,Low,False
Q0255,Can you send me a quote for 20 units of circuit breakers?,Quotation,Medium,False
Q0256,What payment methods do you accept?,General Enquiry,Low,False
Q0257,Order ORD-44718 shows dispatched but tracking is not updating.,Order Status,Medium,False
Q0258,Order ORD-31417 was supposed to arrive 10 days ago.,Order Status,Medium,False
Q0259,"I placed an order ORD-80381 3 days back, when will it be delivered?",Order Status,Medium,False
Q0260,I need a quotation for 2000 rubber grommets,Quotation,Medium,False
Q0261,is there a minimum order quantity for industrial gaskets?,General Enquiry,Low,False
Q0262,"The timing belts I received is damaged, this is unacceptable.",Complaint,High,False
Q0263,What would be the cost for 5000 servo motors including GST?,Quotation,Medium,False
Q0264,"Need qutation urgently, 300 cable glands required for a tender submission.",Quotation,High,False
Q0265,Kindly share the courier tracking number for order ORD-54597.,Order Status,Low,False
Q0266,"Requesting price list for 3-phase contactors, quantity around 300 pcs.",Quotation,Medium,False
Q0267,Can I visit your warehouse to see samples of cable glands?,General Enquiry,Low,False
Q0268,Please share pricing for 1000 industrial gaskets for Metro Fabricators.,Quotation,Medium,False
Q0269,"I placed an order ORD-30033 2 weeks back, when will it be delivered?",Order Status,Medium,False
Q0270,metro Fabricators would like a quote for 20 aluminium extrusions with payment terms.,Quotation,Medium,False
Q0271,is there a minimum order quantity for stainless steel washers?,General Enquiry,Low,False
Q0272,what would be the cost for 500 cable glands including GST?,Quotation,Medium,False
Q0273,Could you provide bulk pricing if we order 100 hydraulic seals?,Quotation,High,False
Q0274,Just checking if you still manufacture cable glands,General Enquiry,Low,False
Q0275,what is the status of my order ORD-79822?,Order Status,Medium,False
Q0276,"Hi, need a formal quotation for 500 rubber grommets for our upcoming project.",Quotation,Medium,False
Q0277,"Not happy with pricing, can you send a better quote before we escalate this order issue?",Quotation,Medium,True
Q0278,the industrial gaskets stopped working within 5 days of delivery.,Complaint,High,False
Q0279,The hydraulic seals stopped working within 2 weeks of delivery.,Complaint,High,False
Q0280,Is there a minimum order quantity for 3-phase contactors?,General Enquiry,Low,False
Q0281,order ORD-57819 was supposed to arrive 5 days ago.,Order Status,Medium,False
Q0282,"Send qutation asap for 50 conveyor belts, comparing with another vendor.",Quotation,High,False
Q0283,"Order ORD-46434 - partial delivery received, where is the rest?",Order Status,Medium,False
Q0284,???,General Enquiry,Low,True
Q0285,"Please update me on order ORD-61856, it's been a week.",Order Status,Medium,False
Q0286,"my order ORD-97841 has not arrived yet, please check.",Order Status,Medium,False
Q0287,The invoice for order ORD-58520 has incorrect GST calculation.,Complaint,Medium,False
Q0288,"Requesting price list for ball bearings (SKF 6205), quantity around 300 pcs.",Quotation,Medium,False
Q0289,Kindly share the courier tracking number for order ORD-71348,Order Status,High,False
Q0290,"terrible packaging, cable glands were broken when the box was opened",Complaint,High,False
Q0291,Do you provide installation support for timing belts?,General Enquiry,Low,False
Q0292,The control relays stopped working within 5 days of delivery.,Complaint,High,False
Q0293,What is the status of my order ORD-82063?,Order Status,Medium,False
Q0294,The hydraulic seals stopped working within 5 days of delivery.,Complaint,High,False
Q0295,"send qutation asap for 300 M8 hex bolts, comparing with another vendor.",Quotation,High,False
Q0296,When can I expect delivery of order ORD-38785?,Order Status,Medium,False
Q0297,Metro Fabricators would like a quote for 2000 aluminium extrusions with payment terms,Quotation,Medium,False
Q0298,Order,Order Status,Low,True
Q0299,do you deliver to Coimbatore?,General Enquiry,Low,False
Q0300,Do you offer discount for 1000+ units of cable glands?,Quotation,Low,False
Q0301,the control relays stopped working within 5 days of delivery,Complaint,High,False
Q0302,"The rubber grommets I received is damaged, this is unacceptable.",Complaint,High,False
Q0303,"Charged extra amount than quoted for order ORD-38746, please explain",Complaint,Medium,False
Q0304,"Requesting price list for cable glands, quantity around 50 pcs.",Quotation,Medium,False
Q0305,When can I expect delivery of order ORD-89507?,Order Status,Low,False
Q0306,Do you export rubber grommets outside India?,General Enquiry,Medium,False
Q0307,"Please update me on order ORD-76784, it's been a week.",Order Status,Medium,False
Q0308,What would be the cost for 2000 carbon brushes including GST?,Quotation,Medium,False
Q0309,Can you track order ORD-93748 for me?,Order Status,Low,False
Q0310,Can you track order ORD-47930 for me?,Order Status,Low,False
Q0311,What would be the cost for 100 solenoid valves including GST?,Quotation,Medium,False
Q0312,Apex Components would like a quote for 100 solenoid valves with payment terms.,Quotation,Medium,False
Q0313,I am cancelling future orders unless order ORD-59797 issue is resolved.,Complaint,High,False
Q0314,Do you export PVC pipe fittings outside India?,General Enquiry,Medium,False
Q0315,Can you send me a quote for 1000 units of aluminium extrusions?,Quotation,Medium,False
Q0316,Your team never responded to my last 3 emails about order ORD-89131.,Complaint,High,False
Q0317,"the pressure gauges I received is damaged, this is unacceptable",Complaint,High,False
Q0318,"I ordered 500 components 2 weeks ago and still no quotation for the balance quantity, also the first batch had some damaged pieces.",Complaint,High,True
Q0319,can you track oder ORD-57447 for me?,Order Status,Low,False
Q0320,can we get a dealership for your products in our region?,General Enquiry,Medium,False
Q0321,Do you offer discount for 100+ units of industrial gaskets?,Quotation,Low,False
Q0322,What would be the cost for 2000 stainless steel washers including GST?,Quotation,Medium,False
Q0323,Can you track order ORD-64987 for me?,Order Status,Low,False
Q0324,can you track order ORD-42953 for me?,Order Status,Low,False
Q0325,"need quotation urgently, 1000 ball bearings (SKF 6205) required for a tender submission.",Quotation,High,False
Q0326,"Need quotation urgently, 2000 conveyor belts required for a tender submission.",Quotation,High,False
Q0327,is there a minimum order quantity for conveyor belts?,General Enquiry,Low,False
Q0328,"Still waiting for order ORD-19116, any update?",Order Status,Medium,False
Q0329,Just checking if you still manufacture M8 hex bolts.,General Enquiry,Low,False
Q0330,Do you offer discount for 500+ units of aluminium extrusions?,Quotation,Low,False
Q0331,"Order ORD-70142 - partial delivery received, where is the rest?",Order Status,Medium,False
Q0332,"need quotation urgently, 500 conveyor belts required for a tender submission.",Quotation,High,False
Q0333,This is the second time we received defective timing belts from you.,Complaint,High,False
Q0334,"need quotation urgently, 5000 timing belts required for a tender submission.",Quotation,High,False
Q0335,Your team never responded to my last 3 emails about order ORD-99733.,Complaint,High,False
Q0336,"order ORD-55082 arrived with wrong items, very disappointed.",Complaint,High,False
Q0337,"I placed an order ORD-98696 a month back, when will it be delivered?",Order Status,Medium,False
Q0338,has order ORD-15695 been shipped yet?,Order Status,Medium,False
Q0339,"Terrible packaging, carbon brushes were broken when the box was opened.",Complaint,High,False
Q0340,"I placed an order ORD-81426 5 days back, when will it be delivered?",Order Status,Medium,False
Q0341,"Kindly quote your best rate for 75 flange couplings, delivery to Chennai.",Quotation,Medium,False
Q0342,I need a quotation for 300 rubber grommets.,Quotation,Medium,False
Q0343,The flange couplings does not match the specifications quoted earlier.,Complaint,High,False
Q0344,Order ORD-57052 was supposed to arrive 3 days ago.,Order Status,Medium,False
Q0345,"Order ORD-69429 - partial delivery received, where is the rest?",Order Status,Medium,False
Q0346,"Kindly quote your best rate for 2000 ball bearings (SKF 6205), delivery to Chennai.",Quotation,Medium,False
Q0347,What is the status of my oder ORD-44671?,Order Status,Medium,False
Q0348,"Hi, need a formal quotation for 2000 industrial gaskets for our upcoming project.",Quotation,Medium,False
Q0349,What is the status of my order ORD-59823?,Order Status,High,False
Q0350,What would be the cost for 1000 solenoid valves including GST?,Quotation,Medium,False
Q0351,"I want a refund for order ORD-84364, the quality is very poor.",Complaint,High,False
Q0352,Is order ORD-56566 delayed? We haven't received any notification.,Order Status,Low,False
Q0353,"Please update me on order ORD-79514, it's been 5 days",Order Status,Medium,False
Q0354,"Requesting revised quotation, last quote for rubber grommets has expired.",Quotation,Medium,False
Q0355,order ORD-11504 was supposed to arrive 3 days ago.,Order Status,Medium,False
Q0356,Order ORD-74686 was supposed to arrive 2 weeks ago.,Order Status,Medium,False
Q0357,"my order ORD-40512 has not arrived yet, please check.",Order Status,Medium,False
Q0358,"Order ORD-18675 arrived with wrong items, very disappointed",Complaint,High,False
Q0359,Can I visit your warehouse to see samples of control relays?,General Enquiry,Low,False
Q0360,"Send quotation asap for 75 hydraulic seals, comparing with another vendor",Quotation,High,False
Q0361,"Extremely unhappy with the service, order ORD-93748 was delivered incomplete",Complaint,High,False
Q0362,Do you export flange couplings outside India?,General Enquiry,Medium,False
Q0363,Can I visit your warehouse to see samples of industrial gaskets?,General Enquiry,Low,False
